IPMA config-param table @0xE2448: 279 valid parameters

cid   len  group  default-template
0x09A   7   0x29   00 00 00 00 00 00 00
0x09B   7   0x29   00 00 00 00 00 00 00
0x09C   7   0x29   00 00 00 00 00 00 00
0x09D   7   0x29   00 00 00 00 00 00 00
0x09E   7   0x29   00 00 00 00 00 00 00
0x09F   7   0x29   00 00 00 00 00 00 00
0x0A0   7   0x29   00 00 00 00 00 00 00
0x0A1   7   0x29   00 00 00 00 00 00 00
0x0A2   7   0x29   00 00 00 00 00 00 00
0x0A3   7   0x29   00 00 00 00 00 00 00
0x0A4   7   0x29   00 00 00 00 00 00 00
0x0A5   7   0x29   00 00 00 00 00 00 00
0x0A6   7   0x29   00 00 00 00 00 00 00
0x0A7   7   0x29   00 00 00 00 00 00 00
0x0A8   7   0x29   00 00 00 00 00 00 00
0x0A9   7   0x29   00 00 00 00 00 00 00
0x0AA   7   0x29   00 00 00 00 00 00 00
0x0AB   7   0x29   00 00 00 00 00 00 00
0x0AC   7   0x29   00 00 00 00 00 00 00
0x0AD   7   0x29   00 00 00 00 00 00 00
0x0AE   7   0x29   00 00 00 00 00 00 00
0x0AF   7   0x29   00 00 00 00 00 00 00
0x0B1   4   0x29   00 00 00 00
0x0B3   4   0x29   00 00 00 00
0x0B4  30   0x29   00 00 00 00 00 00 00 00
0x0B5  30   0x29   00 00 00 00 00 00 00 00
0x0B6   4   0x29   ff ff ff ff
0x0BA   8   0x28   00 00 00 00 00 00 00 00
0x0BB   1   0x29   00
0x0BC   8   0x2A   00 00 00 00 00 00 01 00
0x0BD  17   0x2B   00 00 00 00 00 00 00 00
0x0BE  12   0x29   00 00 00 00 00 00 00 00
0x0BF  28   0x29   00 00 00 00 00 00 00 00
0x0C0  28   0x29   00 00 00 00 00 00 00 00
0x0C1  13   0x29   00 00 00 00 00 00 00 00
0x0C2  10   0x21   00 00 00 00 00 00 00 00
0x0C3   4   0x21   00 00 00 00
0x0C4   8   0x21   00 00 00 00 00 00 00 00
0x0C5  12   0x21   00 00 00 00 00 00 00 00
0x0C6  12   0x21   00 00 00 00 00 00 00 00
0x0C7  10   0x21   00 00 00 00 00 00 00 00
0x0C8  12   0x21   00 00 00 00 00 00 00 00
0x0C9   1   0x28   |_|
0x0CA   1   0x28   00
0x0CB  15   0x29   |BM5T-19H406-AA.|
0x0CC  15   0x29   |BM5T-14F403-AA.|
0x0CD   1   0x29   00
0x0CE   9   0x21   00 ff ff 00 00 ff 81 00
0x0CF   1   0x29   00
0x0D0  20   0x29   00 00 00 00 00 00 00 00
0x0D1  20   0x29   00 00 00 00 00 00 00 00
0x0D2  20   0x29   00 00 00 00 00 00 00 00
0x0D3  20   0x29   00 00 00 00 00 00 00 00
0x0D4  20   0x29   00 00 00 00 00 00 00 00
0x0D5  20   0x29   00 00 00 00 00 00 00 00
0x0D6  20   0x29   00 00 00 00 00 00 00 00
0x0D7  20   0x29   00 00 00 00 00 00 00 00
0x0D8  20   0x29   00 00 00 00 00 00 00 00
0x0D9  20   0x29   00 00 00 00 00 00 00 00
0x0DA  20   0x29   00 00 00 00 00 00 00 00
0x0DB  20   0x29   00 00 00 00 00 00 00 00
0x0DC  20   0x29   00 00 00 00 00 00 00 00
0x0DD  20   0x29   00 00 00 00 00 00 00 00
0x0DE  20   0x29   00 00 00 00 00 00 00 00
0x0DF  20   0x29   00 00 00 00 00 00 00 00
0x0E0  20   0x29   00 00 00 00 00 00 00 00
0x0E1  20   0x29   00 00 00 00 00 00 00 00
0x0E2  20   0x29   00 00 00 00 00 00 00 00
0x0E3  20   0x29   00 00 00 00 00 00 00 00
0x0E4  20   0x29   00 00 00 00 00 00 00 00
0x0E5  20   0x29   00 00 00 00 00 00 00 00
0x0E6  20   0x29   00 00 00 00 00 00 00 00
0x0E7  20   0x29   00 00 00 00 00 00 00 00
0x0E8  20   0x29   00 00 00 00 00 00 00 00
0x0E9  20   0x29   00 00 00 00 00 00 00 00
0x0EA  20   0x29   00 00 00 00 00 00 00 00
0x0EB  20   0x29   00 00 00 00 00 00 00 00
0x0EC  20   0x29   00 00 00 00 00 00 00 00
0x0ED  20   0x29   00 00 00 00 00 00 00 00
0x0EE  30   0x29   00 00 00 00 00 00 00 00
0x0EF   6   0x29   00 00 00 00 00 00
0x0F0   6   0x29   00 00 00 00 00 00
0x0F1   6   0x29   00 00 00 00 00 00
0x0F2   6   0x29   00 00 00 00 00 00
0x0F3   6   0x29   00 00 00 00 00 00
0x0F4   6   0x29   00 00 00 00 00 00
0x0F5   6   0x29   00 00 00 00 00 00
0x0F6   6   0x29   00 00 00 00 00 00
0x0F7   6   0x29   00 00 00 00 00 00
0x0F8   6   0x29   00 00 00 00 00 00
0x0F9   6   0x29   00 00 00 00 00 00
0x0FA   6   0x29   00 00 00 00 00 00
0x0FB   6   0x29   00 00 00 00 00 00
0x0FC   6   0x29   00 00 00 00 00 00
0x0FD   6   0x29   00 00 00 00 00 00
0x0FE   6   0x29   00 00 00 00 00 00
0x0FF   6   0x29   00 00 00 00 00 00
0x100   6   0x29   00 00 00 00 00 00
0x101   6   0x29   00 00 00 00 00 00
0x102   6   0x29   00 00 00 00 00 00
0x103   6   0x29   00 00 00 00 00 00
0x104   6   0x29   00 00 00 00 00 00
0x105   6   0x29   00 00 00 00 00 00
0x106   6   0x29   00 00 00 00 00 00
0x107   6   0x29   00 00 00 00 00 00
0x108   6   0x29   00 00 00 00 00 00
0x109   6   0x29   00 00 00 00 00 00
0x10A   6   0x29   00 00 00 00 00 00
0x10B   6   0x29   00 00 00 00 00 00
0x10C   6   0x29   00 00 00 00 00 00
0x10D  30   0x29   00 00 00 00 00 00 00 00
0x10E   3   0x29   ff ff ff
0x110  30   0xA9   00 00 00 00 00 00 00 00
0x111   8   0x21   00 00 00 00 00 00 00 00
0x112  16   0x21   |..U..2.2....(<..|
0x114  25   0x21   00 00 00 00 00 00 00 00
0x115  10   0x21   |  ...s...s|
0x116  15   0x39   |BM5T-14F397-BA.|
0x117  12   0x21   00 00 00 00 00 00 00 00
0x118  15   0x21   00 00 00 00 00 00 00 00
0x119  15   0x21   00 00 00 00 00 00 00 00
0x11A   8   0x21   01 01 01 01 01 01 01 01
0x11B  16   0x10   00 00 00 00 00 00 00 00
0x11C   1   0x2B   00
0x11D   8   0x2B   00 00 00 00 00 00 00 00
0x11E   1   0x2B   ff

ASCII/part-number defaults:
  0x000 |ADCGmbH|
  0x0CB |BM5T-19H406-AA.|
  0x0CC |BM5T-14F403-AA.|
  0x116 |BM5T-14F397-BA.|

12-byte As-Built config-DID params: ['0x022', '0x023', '0x024', '0x0BE', '0x0C5', '0x0C6', '0x0C8', '0x117']
group-word histogram: {16: 1, 32: 30, 33: 21, 34: 1, 35: 1, 40: 5, 41: 209, 42: 2, 43: 7, 57: 1, 169: 1}

===== Pre-FL vs FL config-table diff =====
Pre-FL params=276 (table @0xE98C0)  FL params=279 (table @0xE2448)
FL-only config params: ['0x11C', '0x11D', '0x11E']
Pre-FL-only config params: []
length-changed params: []
  new FL param 0x11C: len=1 group=0x2B default=00
  new FL param 0x11D: len=8 group=0x2B default=00 00 00 00 00 00 00 00
  new FL param 0x11E: len=1 group=0x2B default=ff
